COM Subsystem List
No;ModelName;SubsystemName
1;M09592_111AS_FS_FSCAN_MWI_DGN_CAN_0A3.mdl;Com_CbkInv_L2_0A3_01
2;M09592_111AS_FS_FSCAN_MWI_DGN_CAN_0A3.mdl;Com_CbkRxAck_L2_0A3_01
3;M09592_111AS_FS_FSCAN_MWI_DGN_CAN_0A3.mdl;Com_CbkCounterErr_L2_0A3
4;M09592_121AS_FS_FSCAN_MWI_DGN_CAN_25F.mdl;Com_CbkInv_L2_25F_01
5;M09592_121AS_FS_FSCAN_MWI_DGN_CAN_25F.mdl;Com_CbkRxAck_L2_25F_01
6;M09592_121AS_FS_FSCAN_MWI_DGN_CAN_25F.mdl;Com_CbkCounterErr_L2_25F
7;M09592_122AS_FS_FSCAN_MWI_DGN_CAN_25B.mdl;Com_CbkInv_L2_25B_03
8;M09592_122AS_FS_FSCAN_MWI_DGN_CAN_25B.mdl;Com_CbkRxAck_L2_25B_03
9;M09592_122AS_FS_FSCAN_MWI_DGN_CAN_25B.mdl;Com_CbkCounterErr_L2_25B
10;M09592_139AS_FS_FSCAN_MWI_DGN_CAN_107.mdl;Com_CbkInv_L2_107_01
11;M09592_139AS_FS_FSCAN_MWI_DGN_CAN_107.mdl;Com_CbkRxAck_L2_107_01
12;M09592_139AS_FS_FSCAN_MWI_DGN_CAN_107.mdl;Com_CbkCounterErr_L2_107
13;M09592_150AS_FS_FSCAN_MWI_DGN_CAN_477.mdl;Com_CbkInv_L2_477_01
14;M09592_150AS_FS_FSCAN_MWI_DGN_CAN_477.mdl;Com_CbkRxAck_L2_477_01
15;M09592_150AS_FS_FSCAN_MWI_DGN_CAN_477.mdl;Com_CbkCounterErr_L2_477
16;M09592_153AS_FS_FSCAN_MWI_DGN_CAN_203.mdl;Com_CbkInv_L2_203_01
17;M09592_153AS_FS_FSCAN_MWI_DGN_CAN_203.mdl;Com_CbkRxAck_L2_203_01
18;M09592_153AS_FS_FSCAN_MWI_DGN_CAN_203.mdl;Com_CbkCounterErr_L2_203
19;M09592_169AS_FS_FSCAN_MWI_DGN_CAN_453.mdl;Com_CbkInv_L2_453_01
20;M09592_169AS_FS_FSCAN_MWI_DGN_CAN_453.mdl;Com_CbkRxAck_L2_453_01
21;M09592_169AS_FS_FSCAN_MWI_DGN_CAN_453.mdl;Com_CbkCounterErr_L2_453
22;M09592_206AS_FS_FSCAN_MWI_DGN_CAN_47C.mdl;Com_CbkInv_L2_47C_01
23;M09592_206AS_FS_FSCAN_MWI_DGN_CAN_47C.mdl;Com_CbkInv_L2_47C_02
24;M09592_206AS_FS_FSCAN_MWI_DGN_CAN_47C.mdl;Com_CbkRxAck_L2_47C_01
25;M09592_206AS_FS_FSCAN_MWI_DGN_CAN_47C.mdl;Com_CbkRxAck_L2_47C_02
26;M09592_207AS_FS_FSCAN_MWI_DGN_CAN_47D.mdl;Com_CbkInv_L2_47D_01
27;M09592_207AS_FS_FSCAN_MWI_DGN_CAN_47D.mdl;Com_CbkInv_L2_47D_02
28;M09592_207AS_FS_FSCAN_MWI_DGN_CAN_47D.mdl;Com_CbkInv_L2_47D_03
29;M09592_207AS_FS_FSCAN_MWI_DGN_CAN_47D.mdl;Com_CbkRxAck_L2_47D_01
30;M09592_207AS_FS_FSCAN_MWI_DGN_CAN_47D.mdl;Com_CbkRxAck_L2_47D_02
31;M09592_207AS_FS_FSCAN_MWI_DGN_CAN_47D.mdl;Com_CbkRxAck_L2_47D_03
32;M09592_207AS_FS_FSCAN_MWI_DGN_CAN_47D.mdl;Com_CbkCounterErr_L2_47D
33;M09592_208AS_FS_FSCAN_MWI_DGN_CAN_28A.mdl;Com_CbkInv_L2_28A_01
34;M09592_208AS_FS_FSCAN_MWI_DGN_CAN_28A.mdl;Com_CbkInv_L2_28A_02
35;M09592_208AS_FS_FSCAN_MWI_DGN_CAN_28A.mdl;Com_CbkRxAck_L2_28A_01
36;M09592_208AS_FS_FSCAN_MWI_DGN_CAN_28A.mdl;Com_CbkRxAck_L2_28A_02
37;M09592_208AS_FS_FSCAN_MWI_DGN_CAN_28A.mdl;Com_CbkCounterErr_L2_28A
38;M09592_216AS_FS_FSCAN_MWI_DGN_CAN_1C6.mdl;Com_CbkInv_L2_1C6_01
39;M09592_216AS_FS_FSCAN_MWI_DGN_CAN_1C6.mdl;Com_CbkInv_L2_1C6_02
40;M09592_216AS_FS_FSCAN_MWI_DGN_CAN_1C6.mdl;Com_CbkInv_L2_1C6_03
41;M09592_216AS_FS_FSCAN_MWI_DGN_CAN_1C6.mdl;Com_CbkRxAck_L2_1C6_01
42;M09592_216AS_FS_FSCAN_MWI_DGN_CAN_1C6.mdl;Com_CbkRxAck_L2_1C6_02
43;M09592_216AS_FS_FSCAN_MWI_DGN_CAN_1C6.mdl;Com_CbkRxAck_L2_1C6_03
44;M09592_216AS_FS_FSCAN_MWI_DGN_CAN_1C6.mdl;Com_CbkCounterErr_L2_1C6
45;M09592_219AS_FS_FSCAN_MWI_DGN_CAN_0A0.mdl;Com_CbkInv_L2_0A0_01
46;M09592_219AS_FS_FSCAN_MWI_DGN_CAN_0A0.mdl;Com_CbkInv_L2_0A0_02
47;M09592_219AS_FS_FSCAN_MWI_DGN_CAN_0A0.mdl;Com_CbkRxAck_L2_0A0_01
48;M09592_219AS_FS_FSCAN_MWI_DGN_CAN_0A0.mdl;Com_CbkRxAck_L2_0A0_02
49;M09592_219AS_FS_FSCAN_MWI_DGN_CAN_0A0.mdl;Com_CbkCounterErr_L2_0A0
50;M09592_226AS_FS_FSCAN_MWI_DGN_CAN_0A6.mdl;Com_CbkInv_L2_0A6_01
51;M09592_226AS_FS_FSCAN_MWI_DGN_CAN_0A6.mdl;Com_CbkRxAck_L2_0A6_01
52;M09592_226AS_FS_FSCAN_MWI_DGN_CAN_0A6.mdl;Com_CbkCounterErr_L2_0A6
53;M09592_227AS_FS_FSCAN_MWI_DGN_CAN_0A5.mdl;Com_CbkInv_L2_0A5_01
54;M09592_227AS_FS_FSCAN_MWI_DGN_CAN_0A5.mdl;Com_CbkRxAck_L2_0A5_01
55;M09592_227AS_FS_FSCAN_MWI_DGN_CAN_0A5.mdl;Com_CbkCounterErr_L2_0A5
