COM Subsystem List
No;ModelName;SubsystemName
1;M20512_108A_VN_CAN_MWI_COM_VELROG_446.mdl;Com_CbkInv_446_01
2;M20512_108A_VN_CAN_MWI_COM_VELROG_446.mdl;Com_CbkRxAck_446_01
3;M20512_109A_VN_CAN_MWI_COM_VDC_0B4.mdl;Com_CbkInv_0B4_01
4;M20512_109A_VN_CAN_MWI_COM_VDC_0B4.mdl;Com_CbkInv_0B4_02
5;M20512_109A_VN_CAN_MWI_COM_VDC_0B4.mdl;Com_CbkInv_0B4_03
6;M20512_109A_VN_CAN_MWI_COM_VDC_0B4.mdl;Com_CbkRxAck_0B4_01
7;M20512_109A_VN_CAN_MWI_COM_VDC_0B4.mdl;Com_CbkRxAck_0B4_02
8;M20512_109A_VN_CAN_MWI_COM_VDC_0B4.mdl;Com_CbkRxAck_0B4_03
9;M20512_110A_VN_CAN_MWI_COM_VDC_289.mdl;Com_CbkInv_289_01
10;M20512_110A_VN_CAN_MWI_COM_VDC_289.mdl;Com_CbkInv_289_02
11;M20512_110A_VN_CAN_MWI_COM_VDC_289.mdl;Com_CbkInv_289_03
12;M20512_110A_VN_CAN_MWI_COM_VDC_289.mdl;Com_CbkRxAck_289_01
13;M20512_110A_VN_CAN_MWI_COM_VDC_289.mdl;Com_CbkRxAck_289_02
14;M20512_110A_VN_CAN_MWI_COM_VDC_289.mdl;Com_CbkRxAck_289_03
15;M20512_111A_VN_CAN_MWI_COM_VDC_0A3.mdl;Com_CbkInv_0A3_01
16;M20512_111A_VN_CAN_MWI_COM_VDC_0A3.mdl;Com_CbkInv_0A3_02
17;M20512_111A_VN_CAN_MWI_COM_VDC_0A3.mdl;Com_CbkInv_0A3_03
18;M20512_111A_VN_CAN_MWI_COM_VDC_0A3.mdl;Com_CbkInv_0A3_04
19;M20512_111A_VN_CAN_MWI_COM_VDC_0A3.mdl;Com_CbkInv_0A3_05
20;M20512_111A_VN_CAN_MWI_COM_VDC_0A3.mdl;Com_CbkRxAck_0A3_01
21;M20512_111A_VN_CAN_MWI_COM_VDC_0A3.mdl;Com_CbkRxAck_0A3_02
22;M20512_111A_VN_CAN_MWI_COM_VDC_0A3.mdl;Com_CbkRxAck_0A3_03
23;M20512_111A_VN_CAN_MWI_COM_VDC_0A3.mdl;Com_CbkRxAck_0A3_04
24;M20512_111A_VN_CAN_MWI_COM_VDC_0A3.mdl;Com_CbkRxAck_0A3_05
25;M20512_111A_VN_CAN_MWI_COM_VDC_0A3.mdl;Com_CbkCounterErr_0A3
26;M20512_112A_VN_CAN_MWI_COM_VDC_202.mdl;Com_CbkInv_202_01
27;M20512_112A_VN_CAN_MWI_COM_VDC_202.mdl;Com_CbkInv_202_02
28;M20512_112A_VN_CAN_MWI_COM_VDC_202.mdl;Com_CbkInv_202_03
29;M20512_112A_VN_CAN_MWI_COM_VDC_202.mdl;Com_CbkInv_202_04
30;M20512_112A_VN_CAN_MWI_COM_VDC_202.mdl;Com_CbkInv_202_05
31;M20512_112A_VN_CAN_MWI_COM_VDC_202.mdl;Com_CbkInv_202_06
32;M20512_112A_VN_CAN_MWI_COM_VDC_202.mdl;Com_CbkInv_202_07
33;M20512_112A_VN_CAN_MWI_COM_VDC_202.mdl;Com_CbkInv_202_08
34;M20512_112A_VN_CAN_MWI_COM_VDC_202.mdl;Com_CbkInv_202_09
35;M20512_112A_VN_CAN_MWI_COM_VDC_202.mdl;Com_CbkInv_202_10
36;M20512_112A_VN_CAN_MWI_COM_VDC_202.mdl;Com_CbkRxAck_202_01
37;M20512_112A_VN_CAN_MWI_COM_VDC_202.mdl;Com_CbkRxAck_202_02
38;M20512_112A_VN_CAN_MWI_COM_VDC_202.mdl;Com_CbkRxAck_202_03
